long_edit,sc,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
Arrhenatherum elatius,7105,2704505,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl.,Arrhenatherum elatius,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Arrhenatherum,Arrhenatherum elatius,6,7707728,196,1369,3073,2704504,2704505,FALSE,Liliopsida,NA,Arrhenatherum elatius,14
Artemisia vulgaris,5576,3120946,Artemisia vulgaris L.,Artemisia vulgaris,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Artemisia,Artemisia vulgaris,6,7707728,220,414,3065,3120641,3120946,FALSE,Magnoliopsida,NA,Artemisia vulgaris,15
Athyrium filix-femina,1163,5275044,Athyrium filix-femina (L.) Roth,Athyrium filix-femina,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Polypodiales,Athyriaceae,Athyrium,Athyrium filix-femina,6,7707728,7228684,392,4922264,2650888,5275044,FALSE,Polypodiopsida,NA,Athyrium filix-femina,16
Berula erecta,4158,3034699,Berula erecta (Huds.) Coville,Berula erecta,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Apiales,Apiaceae,Berula,Berula erecta,6,7707728,220,1351,6720,7607352,3034699,FALSE,Magnoliopsida,NA,Berula erecta,17
Bidens cernua,5464,5391710,Bidens cernua L.,Bidens cernua,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Bidens,Bidens cernua,6,7707728,220,414,3065,3105856,5391710,FALSE,Magnoliopsida,NA,Bidens cernua,18
Bidens tripartita,5461,5391862,Bidens tripartita L.,Bidens tripartita,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Bidens,Bidens tripartita,6,7707728,220,414,3065,3105856,5391862,FALSE,Magnoliopsida,NA,Bidens tripartita,19
Butomus umbellatus,6419,2864467,Butomus umbellatus L.,Butomus umbellatus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Butomaceae,Butomus,Butomus umbellatus,6,7707728,196,551,6980,2864463,2864467,FALSE,Liliopsida,NA,Butomus umbellatus,20
Calamagrostis canescens,7208,4108861,Calamagrostis canescens (Weber) Roth,Calamagrostis canescens,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Calamagrostis,Calamagrostis canescens,6,7707728,196,1369,3073,2704858,4108861,FALSE,Liliopsida,NA,Calamagrostis canescens,21
Caltha palustris,2218,5371685,Caltha palustris L.,Caltha palustris,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Caltha,Caltha palustris,6,7707728,220,399,2410,3033282,5371685,FALSE,Magnoliopsida,NA,Caltha palustris,22
Callitriche platycarpa,4712,7886879,Callitriche platycarpa Kütz.,Callitriche platycarpa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Callitriche,Callitriche platycarpa,6,7707728,220,408,2420,3039547,7886879,FALSE,Magnoliopsida,NA,Callitriche platycarpa,23
Calystegia sepium,4564,2928441,Calystegia sepium (L.) R.Br.,Calystegia sepium,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Calystegia,Calystegia sepium,6,7707728,220,1176,2389,2928418,2928441,FALSE,Magnoliopsida,NA,Calystegia sepium,24
Callitriche,4707,3039547,Callitriche L.,Callitriche,GENUS,ACCEPTED,92,EXACT,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Callitriche,NA,6,7707728,220,408,2420,3039547,NA,FALSE,Magnoliopsida,NA,Callitriche,25
Carex acutiformis,7611,2723099,Carex acutiformis Ehrh.,Carex acutiformis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex acutiformis,6,7707728,196,1369,7708,2721893,2723099,FALSE,Liliopsida,NA,Carex acutiformis,26
Carex acuta,7772,2722833,Carex acuta L.,Carex acuta,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex acuta,6,7707728,196,1369,7708,2721893,2722833,FALSE,Liliopsida,NA,Carex acuta,27
Cardamine amara,2572,3046044,Cardamine amara L.,Cardamine amara,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Brassicales,Brassicaceae,Cardamine,Cardamine amara,6,7707728,220,7225535,3112,3045622,3046044,FALSE,Magnoliopsida,NA,Cardamine amara,28
Carex hirta,7604,2724661,Carex hirta L.,Carex hirta,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex hirta,6,7707728,196,1369,7708,2721893,2724661,FALSE,Liliopsida,NA,Carex hirta,29
Carex nigra,7762,2724925,Carex nigra (L.) Reichard,Carex nigra,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex nigra,6,7707728,196,1369,7708,2721893,2724925,FALSE,Liliopsida,NA,Carex nigra,30
Carex paniculata,7514,2723371,Carex paniculata L.,Carex paniculata,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex paniculata,6,7707728,196,1369,7708,2721893,2723371,FALSE,Liliopsida,NA,Carex paniculata,31
