long_edit,sc,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
Impatiens noli-tangere,3337,2891779,Impatiens noli-tangere L.,Impatiens noli-tangere,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Ericales,Balsaminaceae,Impatiens,Impatiens noli-tangere,6,7707728,220,1353,6699,2891766,2891779,FALSE,Magnoliopsida,NA,Impatiens noli-tangere,90
Iris pseudacorus,6702,5298231,Iris pseudacorus L.,Iris pseudacorus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asparagales,Iridaceae,Iris,Iris pseudacorus,6,7707728,196,1169,7698,2748017,5298231,FALSE,Liliopsida,NA,Iris pseudacorus,91
Juncus articulatus,6763,2701261,Juncus articulatus L.,Juncus articulatus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Juncaceae,Juncus,Juncus articulatus,6,7707728,196,1369,5353,2701072,2701261,FALSE,Liliopsida,NA,Juncus articulatus,92
Juncus bufonius,6740,6413649,Juncus bufonius L.,Juncus bufonius,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Juncaceae,Juncus,Juncus bufonius,6,7707728,196,1369,5353,2701072,6413649,FALSE,Liliopsida,NA,Juncus bufonius,93
Juncus bulbosus,6747,2701339,Juncus bulbosus L.,Juncus bulbosus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Juncaceae,Juncus,Juncus bulbosus,6,7707728,196,1369,5353,2701072,2701339,FALSE,Liliopsida,NA,Juncus bulbosus,94
Juncus effusus,6727,2701311,Juncus effusus L.,Juncus effusus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Juncaceae,Juncus,Juncus effusus,6,7707728,196,1369,5353,2701072,2701311,FALSE,Liliopsida,NA,Juncus effusus,95
Lamiastrum galeobdolon,4873,2927323,Lamiastrum galeobdolon (L.) Ehrend. & Polatschek,Lamiastrum galeobdolon,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon,6,7707728,220,408,2497,2926678,2927324,TRUE,Magnoliopsida,2927324,Lamiastrum galeobdolon,96
Lathyrus pratensis,3449,5356701,Lathyrus pratensis L.,Lathyrus pratensis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Lathyrus,Lathyrus pratensis,6,7707728,220,1370,5386,10356062,5356701,FALSE,Magnoliopsida,NA,Lathyrus pratensis,97
Lemna gibba,7408,2867569,Lemna gibba L.,Lemna gibba,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Alismatales,Araceae,Lemna,Lemna gibba,6,7707728,196,551,6979,2867567,2867569,FALSE,Liliopsida,NA,Lemna gibba,98
Lemna minor,7409,2867589,Lemna minor L.,Lemna minor,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Alismatales,Araceae,Lemna,Lemna minor,6,7707728,196,551,6979,2867567,2867589,FALSE,Liliopsida,NA,Lemna minor,99
Lemna trisulca,7407,2867579,Lemna trisulca L.,Lemna trisulca,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Araceae,Lemna,Lemna trisulca,6,7707728,196,551,6979,2867567,2867579,FALSE,Liliopsida,NA,Lemna trisulca,100
Leontodon autumnalis,5751,8058115,"Leontodon autumnalis Oeder, 1816",Leontodon autumnalis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Leontodon,Leontodon autumnalis,6,7707728,220,414,3065,3137422,8058115,FALSE,Magnoliopsida,NA,Leontodon autumnalis,101
Lolium perenne,6839,2706241,Lolium perenne L.,Lolium perenne,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Lolium,Lolium perenne,6,7707728,196,1369,3073,2706217,2706241,FALSE,Liliopsida,NA,Lolium perenne,102
Lotus pedunculatus,3570,5356854,Lotus pedunculatus Cav.,Lotus pedunculatus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Lotus,Lotus pedunculatus,6,7707728,220,1370,5386,10220564,5356854,FALSE,Magnoliopsida,NA,Lotus pedunculatus,103
Lycopus europaeus,4831,5341478,Lycopus europaeus L.,Lycopus europaeus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Lycopus,Lycopus europaeus,6,7707728,220,408,2497,2927122,5341478,FALSE,Magnoliopsida,NA,Lycopus europaeus,104
Lychnis flos-cuculi,2092,3085873,Lychnis flos-cuculi L.,Lychnis flos-cuculi,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Silene,Silene flos-cuculi,6,7707728,220,422,2518,3085897,5384738,TRUE,Magnoliopsida,5384738,Lychnis flos-cuculi,105
Lysimachia nummularia,4378,3169379,Lysimachia nummularia L.,Lysimachia nummularia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Ericales,Primulaceae,Lysimachia,Lysimachia nummularia,6,7707728,220,1353,6674,3169330,3169379,FALSE,Magnoliopsida,NA,Lysimachia nummularia,106
Lysimachia thyrsiflora,4381,3169358,Lysimachia thyrsiflora L.,Lysimachia thyrsiflora,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Ericales,Primulaceae,Lysimachia,Lysimachia thyrsiflora,6,7707728,220,1353,6674,3169330,3169358,FALSE,Magnoliopsida,NA,Lysimachia thyrsiflora,107
Lysimachia vulgaris,4377,3169386,Lysimachia vulgaris L.,Lysimachia vulgaris,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Ericales,Primulaceae,Lysimachia,Lysimachia vulgaris,6,7707728,220,1353,6674,3169330,3169386,FALSE,Magnoliopsida,NA,Lysimachia vulgaris,108
Mentha aquatica,4839,2927208,Mentha aquatica L.,Mentha aquatica,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Mentha,Mentha aquatica,6,7707728,220,408,2497,2927173,2927208,FALSE,Magnoliopsida,NA,Mentha aquatica,109
Erythranthe guttata,4957,7346102,Erythranthe guttata (DC.) G.L.Nesom,Erythranthe guttata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Phrymaceae,Erythranthe,Erythranthe guttata,6,7707728,220,408,4194986,3171742,7346102,FALSE,Magnoliopsida,NA,Erythranthe guttata,110
Montia fontana,1941,9004024,Montia fontana L.,Montia fontana,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Montiaceae,Montia,Montia fontana,6,7707728,220,422,4898338,3084779,9004024,FALSE,Magnoliopsida,NA,Montia fontana,111
Myosotis laxa ssp. caespitosa,4672,7465016,Myosotis laxa subsp. caespitosa (Schultz) Hyl. ex Nordh.,Myosotis laxa caespitosa,SUBSPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Boraginales,Boraginaceae,Myosotis,Myosotis laxa,6,7707728,220,7226464,2498,2925668,5341182,TRUE,Magnoliopsida,5341182,Myosotis laxa ssp. caespitosa,112
Myosotis scorpioides,4676,5341184,Myosotis scorpioides L.,Myosotis scorpioides,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Boraginales,Boraginaceae,Myosotis,Myosotis scorpioides,6,7707728,220,7226464,2498,2925668,5341184,FALSE,Magnoliopsida,NA,Myosotis scorpioides,113
Myriophyllum alterniflorum,4080,5361773,Myriophyllum alterniflorum DC.,Myriophyllum alterniflorum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum alterniflorum,6,7707728,220,7219248,6694,2984253,5361773,FALSE,Magnoliopsida,NA,Myriophyllum alterniflorum,114
Myrica gale,1521,5414202,Myrica gale L.,Myrica gale,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fagales,Myricaceae,Myrica,Myrica gale,6,7707728,220,1354,2432,5938218,5414202,FALSE,Magnoliopsida,NA,Myrica gale,115
Myriophyllum spicatum,4078,5361760,Myriophyllum spicatum L.,Myriophyllum spicatum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum spicatum,6,7707728,220,7219248,6694,2984253,5361760,FALSE,Magnoliopsida,NA,Myriophyllum spicatum,116
Myriophyllum verticillatum,4077,5361779,Myriophyllum verticillatum L.,Myriophyllum verticillatum,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum verticillatum,6,7707728,220,7219248,6694,2984253,5361779,FALSE,Magnoliopsida,NA,Myriophyllum verticillatum,117
Nasturtium microphyllum,2556,9184619,Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.,Nasturtium microphyllum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Brassicales,Brassicaceae,Nasturtium,Nasturtium microphyllum,6,7707728,220,7225535,3112,7774084,9184619,FALSE,Magnoliopsida,NA,Nasturtium microphyllum,118
Nasturtium officinale,2555,7701037,Nasturtium officinale R.Br.,Nasturtium officinale,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Brassicales,Brassicaceae,Nasturtium,Nasturtium officinale,6,7707728,220,7225535,3112,7774084,7701037,FALSE,Magnoliopsida,NA,Nasturtium officinale,119
Nuphar lutea,2386,7551339,Nuphar lutea (L.) Sibth. & Sm.,Nuphar lutea,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Nymphaeales,Nymphaeaceae,Nuphar,Nuphar lutea,6,7707728,220,636,2423,2882408,7551339,FALSE,Magnoliopsida,NA,Nuphar lutea,120
Oenanthe fluviatilis,4165,5540419,Oenanthe fluviatilis (Bab.) Coleman,Oenanthe fluviatilis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Apiales,Apiaceae,Oenanthe,Oenanthe fluviatilis,6,7707728,220,1351,6720,3034893,5540419,FALSE,Magnoliopsida,NA,Oenanthe fluviatilis,121
Ononis spinosa ssp. maritime,3478,2977157,Ononis spinosa subsp. maritima (Dumort.) P.Fourn.,Ononis spinosa maritima,SUBSPECIES,SYNONYM,95,FUZZY,Plantae,Tracheophyta,Fabales,Fabaceae,Ononis,Ononis spinosa,6,7707728,220,1370,5386,2977094,2977149,TRUE,Magnoliopsida,2977156,Ononis spinosa ssp. maritime,122
Persicaria amphibia,1652,6391648,Persicaria amphibia (L.) Gray,Persicaria amphibia,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Persicaria,Persicaria amphibia,6,7707728,220,422,2416,6390748,6391648,FALSE,Magnoliopsida,NA,Persicaria amphibia,123
Persicaria hydropiper,1644,8323622,Persicaria hydropiper (L.) Spach,Persicaria hydropiper,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Persicaria,Persicaria hydropiper,6,7707728,220,422,2416,6390748,8323622,FALSE,Magnoliopsida,NA,Persicaria hydropiper,124
Persicaria maculosa,1647,6391194,Persicaria maculosa Gray,Persicaria maculosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Persicaria,Persicaria maculosa,6,7707728,220,422,2416,6390748,6391194,FALSE,Magnoliopsida,NA,Persicaria maculosa,125
Petasites hybridus,5607,9490132,"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb.",Petasites hybridus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Petasites,Petasites hybridus,6,7707728,220,414,3065,10717129,9490132,FALSE,Magnoliopsida,NA,Petasites hybridus,126
Phalaris arundinacea,7257,5289756,Phalaris arundinacea L.,Phalaris arundinacea,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Phalaris,Phalaris arundinacea,6,7707728,196,1369,3073,2703277,5289756,FALSE,Liliopsida,NA,Phalaris arundinacea,127
Phleum pratense,7224,9014945,Phleum pratense L.,Phleum pratense,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Phleum,Phleum pratense,6,7707728,196,1369,3073,2706001,9014945,FALSE,Liliopsida,NA,Phleum pratense,128
Phragmites australis,7286,5290149,Phragmites australis (Cav.) Trin. ex Steud.,Phragmites australis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Phragmites,Phragmites australis,6,7707728,196,1369,3073,2705783,5290149,FALSE,Liliopsida,NA,Phragmites australis,129
Poa pratensis,6868,2704178,Poa pratensis L.,Poa pratensis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Poa,Poa pratensis,6,7707728,196,1369,3073,2704173,2704178,FALSE,Liliopsida,NA,Poa pratensis,130
Poa trivialis,6865,8300875,Poa trivialis L.,Poa trivialis,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Poa,Poa trivialis,6,7707728,196,1369,3073,2704173,8300875,FALSE,Liliopsida,NA,Poa trivialis,131
Potamogeton alpinus,6458,5301175,Potamogeton alpinus Balb.,Potamogeton alpinus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton alpinus,6,7707728,196,551,6721,2756560,5301175,FALSE,Liliopsida,NA,Potamogeton alpinus,132
Potamogeton berchtoldii,6475,6389089,Potamogeton berchtoldii Fieber,Potamogeton berchtoldii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton berchtoldii,6,7707728,196,551,6721,2756560,6389089,FALSE,Liliopsida,NA,Potamogeton berchtoldii,133
Potamogeton crispus,6487,5301162,Potamogeton crispus L.,Potamogeton crispus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton crispus,6,7707728,196,551,6721,2756560,5301162,FALSE,Liliopsida,NA,Potamogeton crispus,134
Potamogeton friesii,6468,5301204,Potamogeton friesii Rupr.,Potamogeton friesii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton friesii,6,7707728,196,551,6721,2756560,5301204,FALSE,Liliopsida,NA,Potamogeton friesii,135
Potamogeton gramineus,6449,5301183,Potamogeton gramineus L.,Potamogeton gramineus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton gramineus,6,7707728,196,551,6721,2756560,5301183,FALSE,Liliopsida,NA,Potamogeton gramineus,136
Potamogeton lucens,6445,5301141,Potamogeton lucens L.,Potamogeton lucens,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton lucens,6,7707728,196,551,6721,2756560,5301141,FALSE,Liliopsida,NA,Potamogeton lucens,137
Potamogeton natans,6438,5301147,Potamogeton natans L.,Potamogeton natans,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton natans,6,7707728,196,551,6721,2756560,5301147,FALSE,Liliopsida,NA,Potamogeton natans,138
Potamogeton pectinatus,6495,8356154,Potamogeton pectinatus L.,Potamogeton pectinatus,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Stuckenia,Stuckenia pectinata,6,7707728,196,551,6721,2756544,7871428,TRUE,Liliopsida,7871428,Potamogeton pectinatus,139
Potamogeton perfoliatus,6466,5301200,Potamogeton perfoliatus L.,Potamogeton perfoliatus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton perfoliatus,6,7707728,196,551,6721,2756560,5301200,FALSE,Liliopsida,NA,Potamogeton perfoliatus,140
Potamogeton praelongus,6465,5301213,Potamogeton praelongus Wulfen,Potamogeton praelongus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton praelongus,6,7707728,196,551,6721,2756560,5301213,FALSE,Liliopsida,NA,Potamogeton praelongus,141
Potentilla reptans,3165,5367273,Potentilla reptans L.,Potentilla reptans,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Potentilla,Potentilla reptans,6,7707728,220,691,5015,8079058,5367273,FALSE,Magnoliopsida,NA,Potentilla reptans,142
Ranunculus acris,2283,3033363,Ranunculus acris L.,Ranunculus acris,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus acris,6,7707728,220,399,2410,3033294,3033363,FALSE,Magnoliopsida,NA,Ranunculus acris,143
Ranunculus aquatilis,2330,3033464,Ranunculus aquatilis L.,Ranunculus aquatilis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus aquatilis,6,7707728,220,399,2410,3033294,3033464,FALSE,Magnoliopsida,NA,Ranunculus aquatilis,144
Ranunculus baudotii,2326,3923698,Ranunculus baudotii Godr.,Ranunculus baudotii,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus peltatus,6,7707728,220,399,2410,3033294,8365713,TRUE,Magnoliopsida,3929630,Ranunculus baudotii,145
Ranunculus circinatus,2333,3033382,Ranunculus circinatus Sibth.,Ranunculus circinatus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus circinatus,6,7707728,220,399,2410,3033294,3033382,FALSE,Magnoliopsida,NA,Ranunculus circinatus,146
Ranunculus peltatus,2327,8365713,Ranunculus peltatus Schrank,Ranunculus peltatus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus peltatus,6,7707728,220,399,2410,3033294,8365713,FALSE,Magnoliopsida,NA,Ranunculus peltatus,147
Ranunculus repens,2281,3033339,Ranunculus repens L.,Ranunculus repens,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus repens,6,7707728,220,399,2410,3033294,3033339,FALSE,Magnoliopsida,NA,Ranunculus repens,148
Ranunculus sceleratus,2303,3033374,Ranunculus sceleratus L.,Ranunculus sceleratus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus sceleratus,6,7707728,220,399,2410,3033294,3033374,FALSE,Magnoliopsida,NA,Ranunculus sceleratus,149
Rorippa amphibia,2562,3053201,Rorippa amphibia (L.) Besser,Rorippa amphibia,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Brassicales,Brassicaceae,Rorippa,Rorippa amphibia,6,7707728,220,7225535,3112,3053118,3053201,FALSE,Magnoliopsida,NA,Rorippa amphibia,150
Rorippa palustris,2559,3053168,Rorippa palustris (L.) Besser,Rorippa palustris,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Brassicales,Brassicaceae,Rorippa,Rorippa palustris,6,7707728,220,7225535,3112,3053118,3053168,FALSE,Magnoliopsida,NA,Rorippa palustris,151
Rubus idaeus,2960,2993094,Rubus idaeus L.,Rubus idaeus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Rubus,Rubus idaeus,6,7707728,220,691,5015,2988638,2993094,FALSE,Magnoliopsida,NA,Rubus idaeus,152
Rumex acetosa,1686,2888951,Rumex acetosa L.,Rumex acetosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,Rumex acetosa,6,7707728,220,422,2416,2888942,2888951,FALSE,Magnoliopsida,NA,Rumex acetosa,153
Rumex aquaticus,1698,2888992,Rumex aquaticus L.,Rumex aquaticus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,Rumex aquaticus,6,7707728,220,422,2416,2888942,2888992,FALSE,Magnoliopsida,NA,Rumex aquaticus,154
Rumex conglomeratus,1724,2888963,Rumex conglomeratus Murray,Rumex conglomeratus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,Rumex conglomeratus,6,7707728,220,422,2416,2888942,2888963,FALSE,Magnoliopsida,NA,Rumex conglomeratus,155
Rumex crispus,1715,8195144,Rumex crispus L.,Rumex crispus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,Rumex crispus,6,7707728,220,422,2416,2888942,8195144,FALSE,Magnoliopsida,NA,Rumex crispus,156
Rumex hydrolapathum,1712,7291247,Rumex hydrolapathum (Scop.) Huds.,Rumex hydrolapathum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,Rumex hydrolapathum,6,7707728,220,422,2416,2888942,7291247,FALSE,Magnoliopsida,NA,Rumex hydrolapathum,157
Rumex obtusifolius,1733,2889011,Rumex obtusifolius L.,Rumex obtusifolius,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,Rumex obtusifolius,6,7707728,220,422,2416,2888942,2889011,FALSE,Magnoliopsida,NA,Rumex obtusifolius,158
Rumex sanguineus,1730,2888960,Rumex sanguineus L.,Rumex sanguineus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Polygonaceae,Rumex,Rumex sanguineus,6,7707728,220,422,2416,2888942,2888960,FALSE,Magnoliopsida,NA,Rumex sanguineus,159
Sagittaria sagittifolia,6396,5328882,Sagittaria sagittifolia L.,Sagittaria sagittifolia,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Alismatales,Alismataceae,Sagittaria,Sagittaria sagittifolia,6,7707728,196,551,3720,2766037,5328882,FALSE,Liliopsida,NA,Sagittaria sagittifolia,160
Salix cinerea,1404,5372605,Salix cinerea L.,Salix cinerea,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Malpighiales,Salicaceae,Salix,Salix cinerea,6,7707728,220,1414,6664,3039576,5372605,FALSE,Magnoliopsida,NA,Salix cinerea,161
Schoenoplectus lacustris,7448,2710941,Schoenoplectus lacustris (L.) Palla,Schoenoplectus lacustris,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Schoenoplectus,Schoenoplectus lacustris,6,7707728,196,1369,7708,2710907,2710941,FALSE,Liliopsida,NA,Schoenoplectus lacustris,162
Scirpus sylvaticus,7444,2720080,Scirpus sylvaticus L.,Scirpus sylvaticus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Scirpus,Scirpus sylvaticus,6,7707728,196,1369,7708,2720078,2720080,FALSE,Liliopsida,NA,Scirpus sylvaticus,163
Scutellaria galericulata,4733,2926759,Scutellaria galericulata L.,Scutellaria galericulata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Scutellaria,Scutellaria galericulata,6,7707728,220,408,2497,2926730,2926759,FALSE,Magnoliopsida,NA,Scutellaria galericulata,164
Senecio aquaticus,5634,7908427,"Senecio aquaticus Loisel., 1807",Senecio aquaticus,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Senecio,Senecio aquaticus,6,7707728,220,414,3065,3106738,7908427,FALSE,Magnoliopsida,NA,Senecio aquaticus,165
Sium latifolium,4155,3034530,Sium latifolium L.,Sium latifolium,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Apiales,Apiaceae,Sium,Sium latifolium,6,7707728,220,1351,6720,3034525,3034530,FALSE,Magnoliopsida,NA,Sium latifolium,166
Solanum dulcamara,4917,2932737,Solanum dulcamara L.,Solanum dulcamara,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Solanales,Solanaceae,Solanum,Solanum dulcamara,6,7707728,220,1176,7717,2928997,2932737,FALSE,Magnoliopsida,NA,Solanum dulcamara,167
Sparganium emersum,7419,2702266,Sparganium emersum Rehmann,Sparganium emersum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Typhaceae,Sparganium,Sparganium emersum,6,7707728,196,1369,4246,2702260,2702266,FALSE,Liliopsida,NA,Sparganium emersum,168
Sparganium erectum,7413,7679536,Sparganium erectum L.,Sparganium erectum,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Typhaceae,Sparganium,Sparganium erectum,6,7707728,196,1369,4246,2702260,7679536,FALSE,Liliopsida,NA,Sparganium erectum,169
Spirodela polyrhiza,7411,4097481,Spirodela polyrhiza (L.) Schleid.,Spirodela polyrhiza,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Araceae,Spirodela,Spirodela polyrhiza,6,7707728,196,551,6979,2867778,4097481,FALSE,Liliopsida,NA,Spirodela polyrhiza,170
Stachys palustris,4774,2927245,Stachys palustris L.,Stachys palustris,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Stachys,Stachys palustris,6,7707728,220,408,2497,2927228,2927245,FALSE,Magnoliopsida,NA,Stachys palustris,171
Stachys sylvatica,4773,2927282,Stachys sylvatica L.,Stachys sylvatica,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Stachys,Stachys sylvatica,6,7707728,220,408,2497,2927228,2927282,FALSE,Magnoliopsida,NA,Stachys sylvatica,172
Stellaria alsine,1987,5384606,Stellaria alsine Grimm,Stellaria alsine,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria alsine,6,7707728,220,422,2518,3085667,5384606,FALSE,Magnoliopsida,NA,Stellaria alsine,173
Stellaria graminea,1991,5384616,Stellaria graminea L.,Stellaria graminea,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria graminea,6,7707728,220,422,2518,3085667,5384616,FALSE,Magnoliopsida,NA,Stellaria graminea,174
Stellaria holostea,1986,5384676,Stellaria holostea L.,Stellaria holostea,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Rabelera,Rabelera holostea,6,7707728,220,422,2518,11086674,11071158,TRUE,Magnoliopsida,11071158,Stellaria holostea,175
Stellaria media,1983,5384604,Stellaria media (L.) Vill.,Stellaria media,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria media,6,7707728,220,422,2518,3085667,5384604,FALSE,Magnoliopsida,NA,Stellaria media,176
Stellaria nemorum,1980,6363434,Stellaria nemorum L.,Stellaria nemorum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria nemorum,6,7707728,220,422,2518,3085667,6363434,FALSE,Magnoliopsida,NA,Stellaria nemorum,177
